/Users/youshaoxiao/.virtualenvs/py3/bin/python /Users/youshaoxiao/PycharmProjects/cluster_and_cloud_2018/1_vm_scripts/2_vm_setup/test.py
Connecting to Nectar
Connecting to Nectar finshed
Image id: ami-bf7a51e3, image name: 爬虫最开始测试
Image id: ami-cf046e68, image name: CirrOS 0.4.0 x86_64
Image id: ami-92292d1d, image name: NeCTAR R-Studio (Ubuntu 16.04 LTS Xenial)
Image id: ami-8174b393, image name: GVL 4.4.0 Alpha 2
Image id: ami-3e2d8049, image name: NeCTAR R-Studio (Ubuntu 16.04 LTS Xenial)
Image id: ami-32ee884f, image name: Quick Setup with Python Packages, BS4, Byobu and Screen
Image id: ami-2bd79702, image name: space-reporting-20180307
Image id: ami-7b0f3fa6, image name: EMUStack_Ubuntu_14.04_TW040318
Image id: ami-35142d7a, image name: PPGISbeforephpmyadmin
Image id: ami-430e1319, image name: pyLIMA_default
Image id: ami-68f566f8, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-8aac485a, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-16030760, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-190a1773, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-e2d5e55e, image name: NeCTAR Ubuntu 17.10 (Artful) amd64
Image id: ami-3c7e2b25, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-b481405b, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-1e73acf7, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-7c3cee0e, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-3651c729, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-b18a660c, image name: NeCTAR CentOS 7 x86_64
Image id: ami-495cefd0, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-0501a934, image name: NeCTAR Fedora 26 x86_64
Image id: ami-8eab479f, image name: NeCTAR Fedora 26 x86_64
Image id: ami-53bb4225, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-c0f06eae, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-9084a71f, image name: NeCTAR openSUSE Leap 42.3 x86_64
Image id: ami-3b05f3d3, image name: NeCTAR Ubuntu 17.10 (Artful) amd64
Image id: ami-55b69101, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-ddbcf123, image name: NeCTAR CentOS 6 x86_64
Image id: ami-9f09958e, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-606c6ffc, image name: MediaFlux-for-NCI
Image id: ami-d142ba30, image name: Sahara Vanilla 2.7.1 (Beta)
Image id: ami-c5095600, image name: Sahara Spark 1.6.0 (Beta)
Image id: ami-dc8eecce, image name: Sahara Spark 2.1.0 (Beta)
Image id: ami-92abd477, image name: ubuntu14.04-x64-kubernetes.qcow2
Image id: ami-ca24ffe4, image name: debian8-x64-kubernetes.qcow2
Image id: ami-5f12295f, image name: research_cat
Image id: ami-bb918743, image name: GVL 4.3.0
Image id: ami-9f589ca1, image name: GVL 4.3.0 Beta 2
Image id: ami-ba18f2d7, image name: GVL 4.3.0 Alpha 10
Image id: ami-f530be3e, image name: Ubuntu 16.04 + Docker + rclone
Image id: ami-8b01a158, image name: kali-linux-xfce-2017.3-amd64
Image id: ami-eec68a93, image name: ppgis_serious
Image id: ami-1aac6df1, image name: centos 7.4 template intersect
Image id: ami-3ae1fe54, image name: alpine-3.6
Image id: ami-04a4c636, image name: NXR-R-training_20171123
Image id: ami-998d4a50, image name: CarersCare 22-11-2017
Image id: ami-2db3d219, image name: stadspprd01-disk1
Image id: ami-ab0e8608, image name: rancheros v1.1.0
Image id: ami-96ee881d, image name: NXR-Apollo-Master_20171101
Image id: ami-f3d9c818, image name: GVL 4.2.0
Image id: ami-3651752d, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-d35da020, image name: mediaflux-NeCTAR-Ubuntu-16.04-LTS-Xenial-amd64-m1.small-snapshot
Image id: ami-8093bdc8, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-1e73d6af, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-d18f3ffa, image name: NeCTAR CentOS 7 x86_64
Image id: ami-45ef72ee, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-a9d574bc, image name: NeCTAR Ubuntu 17.10 (Artful) amd64
Image id: ami-39137f7d, image name: NeCTAR CentOS 6 x86_64
Image id: ami-392d6097, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-e8e1c6f1, image name: NeCTAR Fedora 26 x86_64
Image id: ami-254d667a, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-14f4a575, image name: csiro-health-search-SNAPSHOT
Image id: ami-f9563390, image name: TPAC core.014 Ubuntu 16.04 LTS (Xenial) amd64 1508215844
Image id: ami-89310b49, image name: Ubuntu 16.04 + Docker + Rocker/Verse
Image id: ami-b65f06d6, image name: TPAC core.014 Ubuntu 16.04 LTS (Xenial) amd64 1508117585
Image id: ami-22f082c1, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-096bfeeb, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-2861b4b6, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-da0a99ba, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-b42e6bc2, image name: CoreOS-stable-v1520.5.0
Image id: ami-72e7ff93, image name: Wicking fMRI Ubuntu 16.04 fsl-complete & fsleyes python install
